代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),季度,16Q2 業外 損益 (億),16Q3 業外 損益 (億),16Q4 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億)
3484,崧騰,47.95,-0.75,-1.54,0.13,0.14,-0.51,0.33,0,0.01,0.35,0.2,0.08,0.32,0.2,0.15,0.3,2019Q1,,,,,,,,,,,,
3490,單井,22.05,-0.5,-2.22,0.19,0.09,-0.06,0.13,0.19,0.08,0.12,0.04,0.42,1.32,0.09,0.05,-0.19,2019Q1,,,,,,,,,,,,
3491,昇達科,382,-17,-4.26,0.29,0.19,0.59,0.61,-0.15,0.09,0.65,0.24,-0.01,0.35,0.45,-0.06,0.53,2019Q1,,,,,,,,,,,,
3492,長盛,20.5,-0.2,-0.97,0.07,0.13,0.14,0.2,-0.01,0,0.06,0.14,-0.03,0.06,0.07,-0.01,0.06,2019Q1,,,,,,,,,,,,
3499,環天科,14.2,-0.1,-0.7,0.08,0.11,0.21,0.27,-0.05,-0.03,0.1,0.07,-0.04,0.17,0.04,-0.03,0.12,2019Q1,,,,,,,,,,,,
3512,皇龍,26.2,-0.25,-0.95,0.19,0.02,0.13,0.13,-0.11,-0.04,-0.06,-0.41,2.71,-0.05,0.03,-0.1,0.09,2019Q1,,,,,,,,,,,,
3516,亞帝歐,21.4,-0.1,-0.47,0.17,0.19,0.2,0.27,0.12,0.18,0.18,0.21,0.08,0.14,0.12,0.19,0.14,2019Q1,,,,,,,,,,,,
3520,華盈,14.2,0,0,0.09,0.6,0.12,0.17,-0.07,-0.01,0.1,0.09,-0.09,0.1,0.04,-0.11,0.11,2019Q1,,,,,,,,,,,,
3526,凡甲,232,-6,-2.52,0.27,0.24,0.29,0.42,-0.05,-0.02,0.56,0.16,0.05,0.37,0.49,-0.06,0.83,2019Q1,,,,,,,,,,,,
3527,聚積,64.1,0,0,0.13,0.29,0.04,0.16,-0.02,0.06,0.09,0.25,-0.05,0.2,0.12,0.09,0.34,2019Q1,,,,,,,,,,,,
3529,力旺,2305,-95,-3.96,0.23,0.15,0.15,0.4,-0.15,0.04,0.47,0.69,-0.62,0.91,0.41,-0.16,0.52,2019Q1,,,,,,,,,,,,
3531,先益,26.95,0,0,0.28,0.42,0.45,0.79,-0.3,0.02,0.41,0.57,-0.41,0.63,0.33,-0.13,0.62,2019Q1,,,,,,,,,,,,
3537,堡達,40.3,-1.05,-2.54,0.13,0.33,0.28,0.51,-0.29,-0.05,0.16,0.38,-0.47,0.39,0.16,-0.21,0.32,2019Q1,,,,,,,,,,,,
3546,宇峻,88,-1.5,-1.68,0.18,0.23,0.18,0.47,-0.11,0.02,0.19,0.41,-0.17,0.38,0.18,0.02,0.31,2019Q1,,,,,,,,,,,,
3548,兆利,122.5,-2,-1.61,0.57,0.4,0.98,1.36,-0.02,0.14,0.87,0.43,0.04,0.64,0.53,0.46,1,2019Q1,,,,,,,,,,,,
3551,世禾,92.5,-3.6,-3.75,0.09,0.07,0.03,0.25,-0.06,0.05,0.14,0.11,0.04,0.14,0.17,0.11,0,2019Q1,,,,,,,,,,,,
3552,同致,62.5,-1.7,-2.65,0.02,0.36,-0.83,-0.4,0.53,0.54,-0.74,0.18,0.12,0.26,-0.08,0.15,0.12,2019Q1,,,,,,,,,,,,
3556,禾瑞亞,39.9,+0.1,+0.25,0.06,0.08,0.01,0.05,-0.01,0.06,0.09,0.07,-0.02,0.15,0.13,-0.06,0.14,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
3558,神準,170.5,-8.5,-4.75,0.26,0.44,0.48,0.9,-0.62,0.23,0.46,1.06,-0.63,0.68,0.13,-0.14,0.15,2019Q1,,,,,,,,,,,,
3564,其陽,49.6,-2.5,-4.8,-0.07,-0.02,-0.04,-0.01,-0.15,-0.09,-0.06,-0.09,-0.1,-0.05,-0.08,-0.11,-0.05,2019Q1,,,,,,,,,,,,
3567,逸昌,28,+0.2,+0.72,0.02,0.02,0.03,0.04,-0.01,0,0.02,0.03,-0.03,0.05,0.02,0,0.02,2019Q1,,,,,,,,,,,,
3570,大塚,179,-2,-1.1,0.01,-0.06,0.02,0,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0,0.03,2019Q1,,,,,,,,,,,,
3577,泓格,52.4,-0.8,-1.5,0.02,0.03,0.03,0.06,-0.03,0,0.01,0.02,0.01,0.05,0.03,0,0.06,2019Q1,,,,,,,,,,,,
3580,友威科,58.2,-2.5,-4.12,0.08,0.25,0.08,0.46,-0.28,0.03,0.03,0.21,-0.16,0.18,0.06,-0.01,0.11,2019Q1,,,,,,,,,,,,
3581,博磊,32,+0.45,+1.43,0.04,-0.08,-0.13,0.12,-0.12,0.15,0.08,0.04,-0.06,0.27,0.19,-0.23,0.26,2019Q1,,,,,,,,,,,,
3587,閎康,152,-5.5,-3.49,0.12,0.1,0.08,0.24,0.09,0,0.08,0.19,0.19,0.17,0,0.14,0.11,2019Q1,,,,,,,,,,,,
3594,磐儀,42.6,-1.25,-2.85,0.11,0.19,-0.02,0.48,-0.18,-0.02,0.26,0.27,-0.44,0.31,0.33,0.01,0.08,2019Q1,,,,,,,,,,,,
3597,映興,27,-1.05,-3.74,0.05,0.07,0.1,0.19,-0.11,0,0.12,0.14,-0.09,0.12,0.06,-0.03,0.08,2019Q1,,,,,,,,,,,,
3611,鼎翰,178.5,-4,-2.19,0.14,0.16,0.65,0.32,-0.23,-0.02,0.64,0.18,-0.19,0.17,0.36,-0.2,-0.15,2019Q1,,,,,,,,,,,,
3615,安可,21.05,-0.35,-1.64,0.19,0.17,-0.23,0.28,0.15,0.27,0.43,0.26,0.12,0.32,0.22,0.24,0.04,2019Q1,,,,,,,,,,,,
3624,光頡,29.05,-0.65,-2.19,0.14,0.43,0.28,0.52,-0.23,-0.01,0.14,0.3,-0.25,0.24,0.11,-0.03,0.21,2019Q1,,,,,,,,,,,,
3628,盈正,38.45,-0.2,-0.52,0.05,0.08,0.1,0.14,-0.12,-0.04,0.13,0.11,-0.15,0.14,0.03,0.02,0.16,2019Q1,,,,,,,,,,,,
3646,艾恩特,29.85,0,0,0.04,0,0.07,0.14,0.03,-0.01,0.13,0,0.02,-0.02,0.04,0.02,0.01,2019Q1,,,,,,,,,,,,
3663,鑫科,46.75,-1.95,-4,0.05,0.08,-0.01,0.15,-0.03,0.02,-0.03,0.13,-0.11,0.12,0.04,0.04,0.23,2019Q1,,,,,,,,,,,,
3664,安瑞-KY,20.15,-0.05,-0.25,0.01,0,0.01,0,-0.02,0.01,-0.02,0.14,-0.01,-0.01,-0.01,-0.04,0.04,2019Q1,,,,,,,,,,,,
3675,德微,148,0,0,0.03,0.07,0.05,0.07,-0.08,-0.06,0.05,0.1,-0.17,0.19,0.11,-0.2,0.21,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
3680,家登,370,-10,-2.63,0.53,0.18,0.89,0.51,-0.24,0.17,0.88,0.38,-0.09,0.75,0.13,0.79,2.05,2019Q1,,,,,,,,,,,,
3684,榮昌,43.1,0,0,0.03,0.04,0.09,0.18,-0.12,-0.04,0.08,0.05,-0.08,0.08,0.04,-0.03,0.09,2019Q1,,,,,,,,,,,,
3687,歐買尬,72.1,-1.3,-1.77,0.15,0.08,0.06,0.06,0.14,0.13,0.16,0.25,0.26,0.13,0.11,0.24,0.22,2019Q1,,,,,,,,,,,,
3689,湧德,79,-0.8,-1,0.27,0.3,0.35,0.37,-0.16,-0.03,0.59,0.44,0.05,0.3,0.64,0.18,0.23,2019Q1,,,,,,,,,,,,
3693,營邦,273,-6.5,-2.33,0.15,0.17,0.14,0.56,-0.34,-0.12,0.36,0.7,-0.87,0.67,0.24,-0.42,0.79,2019Q1,,,,,,,,,,,,
3709,鑫聯大投控,30.9,-0.2,-0.64,-0.04,0.08,-0.17,-0.09,0.01,-0.05,-0.03,-0.13,-0.03,-0.11,-0.03,0.01,0.05,2019Q1,,,,,,,,,,,,
4102,永日,23.1,+0.05,+0.22,0.05,0.06,0.15,0.09,-0.04,0,0.04,0.15,-0.08,0.06,0.03,0.02,0.07,2019Q1,,,,,,,,,,,,
4105,東洋,73.2,+0.3,+0.41,0.6,0.41,0.53,0.68,0.18,0.48,0.59,0.01,-0.62,0.58,0.67,0.49,3.18,2019Q1,,,,,,,,,,,,
4107,邦特,113.5,0,0,0.06,0.2,0.1,0.21,-0.07,0.01,0.07,0.16,-0.33,0.19,0.06,-0.03,0.14,2019Q1,,,,,,,,,,,,
4109,加捷生醫,17.1,-0.55,-3.12,0.35,0.01,0.03,0.02,0.03,0.02,0.05,0.22,1.84,0.02,2.12,0.05,-0.27,2019Q1,,,,,,,,,,,,
4111,濟生,30.15,+0.8,+2.73,0.06,0.03,0.03,0.07,-0.06,0.02,0.12,0.2,-0.08,0.17,0.09,0,0.13,2019Q1,,,,,,,,,,,,
4113,聯上,20.8,-0.7,-3.26,-0.24,-0.16,-0.18,-0.28,-0.15,-0.24,-0.67,-0.22,-0.21,-0.3,-0.18,-0.21,-0.11,2019Q1,,,,,,,,,,,,
4114,健喬,31.2,-0.25,-0.79,0.15,-0.05,2.84,0.02,-0.09,-0.15,0.13,-0.07,-0.05,0.11,0.05,-0.29,-0.68,2019Q1,,,,,,,,,,,,
4116,明基醫,40.85,-0.5,-1.21,0.09,0.83,0.01,0.12,0.02,0.04,0.04,-0.02,0.01,0,-0.01,0.01,-0.03,2019Q1,,,,,,,,,,,,
4126,太醫,92,+0.4,+0.44,0.13,0.15,0.08,0.3,0.06,0.03,0.1,0.3,-0.17,0.23,-0.01,0.43,0.03,2019Q1,,,,,,,,,,,,
4127,天良,37.2,-0.2,-0.53,0.01,0.01,-0.01,0.01,0,-0.01,0,0,-0.01,0,0.01,0.01,0.11,2019Q1,,,,,,,,,,,,
4129,聯合,89.7,+1.5,+1.7,-0.09,-0.11,-0.34,0.29,-0.23,-0.19,-0.05,-0.02,-0.08,0.01,-0.08,0.19,-0.45,2019Q1,,,,,,,,,,,,
4130,健亞,20.25,-0.25,-1.22,0.01,0.01,0.02,0.02,-0.01,0.01,0.02,0.01,0,0.02,0.01,0.03,0.02,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
4138,曜亞,90,+0.2,+0.22,0.08,0.04,0.03,0.11,0.02,0.07,0.08,0.07,0.06,0.11,0.12,0.05,0.16,2019Q1,,,,,,,,,,,,
4153,鈺緯,43.7,+0.2,+0.46,-0.01,0.03,-0.08,0.08,-0.2,-0.02,-0.04,-0.01,0.02,0.01,0.01,0,0.02,2019Q1,,,,,,,,,,,,
4160,訊聯基因,56,+0.4,+0.72,0.04,0.04,0.01,0.04,0.04,0.05,0.04,0.06,0.02,0.05,0.04,0.06,0.03,2019Q1,,,,,,,,,,,,
4161,聿新科,33.9,-0.1,-0.29,0.05,0.06,0.06,0.19,-0.08,0.03,0.05,0.12,-0.03,0.1,0.07,0,0.03,2019Q1,,,,,,,,,,,,
4162,智擎,87.1,-2.1,-2.35,0.23,0.05,0.07,0.82,0.15,0.21,0.19,0.26,-0.05,0.35,0.25,0.03,0.47,2019Q1,,,,,,,,,,,,
4163,鐿鈦,102.5,-1.5,-1.44,0.22,0.38,0.43,0.98,-0.4,-0.03,0.4,0.47,-0.4,0.38,0.14,-0.17,0.44,2019Q1,,,,,,,,,,,,
4167,松瑞藥,17.65,-0.25,-1.4,0.18,0.05,0.01,1.45,-0.2,0,0.33,0.32,-0.36,0.73,-0.1,-0.32,0.3,2019Q1,,,,,,,,,,,,
4173,久裕,23.1,-0.05,-0.22,0.04,0.01,0.14,0.01,0,0.01,0.03,0.1,0,0.03,0.02,0.14,0.01,2019Q1,,,,,,,,,,,,
4175,杏一,62.7,-1,-1.57,-0.06,0,-0.03,0.05,-0.07,-0.09,-0.06,-0.02,-0.19,-0.07,-0.09,-0.09,-0.03,2019Q1,,,,,,,,,,,,
4183,福永生技,19.9,-0.7,-3.4,0.02,0.05,0.01,0.06,-0.01,0,0.04,0.04,-0.07,0.07,0.03,-0.03,0.05,2019Q1,,,,,,,,,,,,
4205,中華食,89.9,+0.3,+0.33,0.03,0,0.02,0,0.05,0.01,0.03,0.01,0.07,0.02,0.06,0.01,0.05,2019Q1,,,,,,,,,,,,
4207,環泰,15.5,0,0,-0.08,0.05,-0.09,-0.05,-0.29,-0.04,-0.01,0,-0.09,-0.09,-0.04,-0.24,-0.05,2019Q1,,,,,,,,,,,,
4303,信立,70.1,+0.9,+1.3,0.83,0.65,-1.03,-0.1,-0.07,0.24,0.39,0.12,0.8,5.51,-2.35,-0.04,5.84,2019Q1,,,,,,,,,,,,
4305,世坤,43.2,0,0,0.15,0.21,0.24,0.46,-0.16,0.02,0.23,0.3,-0.21,0.36,0.19,-0.07,0.24,2019Q1,,,,,,,,,,,,
4401,東隆興,16.65,+0.15,+0.91,0.07,0.11,0.17,0.46,-0.29,-0.1,0.15,0.17,-0.26,0.24,0.07,-0.1,0.19,2019Q1,,,,,,,,,,,,
4413,飛寶企業,14.2,0,0,0.04,0.04,0.06,0.16,-0.08,-0.01,0.07,0.11,-0.05,0.12,0.06,-0.03,0.06,2019Q1,,,,,,,,,,,,
4416,三圓,60.3,-0.2,-0.33,-0.28,-0.51,-0.08,-1.53,-0.76,-0.23,0.18,-0.13,0.07,0.1,0.06,-0.26,-0.28,2019Q1,,,,,,,,,,,,
4417,金洲,44.35,-0.65,-1.44,0.04,-0.12,0.01,0.05,0.37,0.17,0.33,-0.26,0.25,-0.29,-0.1,0.3,-0.21,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
4420,光明,51.2,-1,-1.92,-0.07,0.05,-0.26,-0.07,-0.06,-0.01,-0.09,-0.18,-0.17,-0.12,0.06,0.04,-0.02,2019Q1,,,,,,,,,,,,
4432,銘旺實,20.7,-0.05,-0.24,0.16,0.18,0.23,0.39,-0.19,-0.05,0.15,0.37,-0.13,0.28,0.24,-0.03,0.51,2019Q1,,,,,,,,,,,,
4433,興采,25.35,0,0,0.07,0.1,0.18,0.37,-0.24,-0.02,0.15,0.15,-0.14,0.28,0.03,-0.15,0.12,2019Q1,,,,,,,,,,,,
4442,竣邦-KY,47,+0.15,+0.32,0.04,,0.17,0.05,-0.03,-0.01,0.08,0.04,-0.06,0.07,0.08,-0.01,0.07,2019Q1,,,,,,,,,,,,
4502,健信,17.05,0,0,-0.01,-0.04,-0.04,0,-0.16,-0.08,0.05,0.13,-0.13,-0.02,0.03,0.01,0.14,2019Q1,,,,,,,,,,,,
4506,崇友,105,0,0,0.36,0.9,0.15,0.49,0.21,0.45,0.55,0.26,0.18,0.33,0.34,0.18,0.33,2019Q1,,,,,,,,,,,,
4510,高鋒,43.25,-0.6,-1.37,0.08,0.11,-0.04,0.24,-0.13,-0.06,0.05,0.24,-0.21,0.08,0.59,0,0.03,2019Q1,,,,,,,,,,,,
4527,方土霖,45.7,-0.7,-1.51,0.1,0.03,0.12,0.07,0.06,0.1,0.1,0.11,0.13,0.08,0.14,0.06,0.17,2019Q1,,,,,,,,,,,,
4528,江興鍛,18.2,0,0,0.11,-0.03,-0.04,-0.05,1.24,-0.04,0.05,0.09,-0.01,0,0.05,-0.05,0.09,2019Q1,,,,,,,,,,,,
4533,協易機,26.6,-0.9,-3.27,0.39,0.6,0.11,0.75,-0.33,0.09,0.53,0.98,-0.56,1.01,0.6,-0.2,1.12,2019Q1,,,,,,,,,,,,
4534,慶騰,19.6,-0.9,-4.39,0.06,0.07,0.07,0.19,-0.05,-0.02,0.04,0.09,-0.09,0.08,0.05,0,0.24,2019Q1,,,,,,,,,,,,
4535,至興,30.25,-0.15,-0.49,0.12,0.11,0.09,0.19,0.01,0.06,0.11,0.22,0,0.23,0.18,-0.06,0.29,2019Q1,,,,,,,,,,,,
4538,大詠城,17.4,+0.1,+0.58,0.02,0.01,0.01,0.02,0.01,0.07,0.04,-0.05,0.12,0.02,-0.02,0.15,-0.12,2019Q1,,,,,,,,,,,,
4541,晟田,51.3,+4.6,+9.85,0.12,0.18,0.14,0.43,0.06,-0.08,0.2,0.25,-0.22,0.24,-0.01,0.2,0.03,2019Q1,,,,,,,,,,,,
4542,科嶠,59.1,-1.7,-2.8,0.03,0.12,0.03,0.15,-0.03,0,-0.02,0.15,-0.22,0.09,0.03,-0.01,0.03,2019Q1,,,,,,,,,,,,
4543,萬在,28.4,-0.15,-0.53,0.15,0.24,0.23,0.52,-0.44,-0.01,0.3,0.37,-0.32,0.44,0.26,-0.16,0.37,2019Q1,,,,,,,,,,,,
4549,桓達,116.5,-3.5,-2.92,0.14,0.21,0.22,0.22,0.04,0.11,0.12,0.18,-0.03,0.23,0.15,0.06,0.17,2019Q1,,,,,,,,,,,,
4550,長佳,27.2,-0.25,-0.91,0.07,0.05,0.03,0.04,0.07,0.03,0.05,0.01,0.06,0.01,0.02,0.04,0.45,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
4554,橙的,28.3,-0.6,-2.08,0.05,0.14,0.03,0.1,0.03,0.04,0.02,0.1,-0.08,0.13,0.04,0.07,-0.03,2019Q1,,,,,,,,,,,,
4556,旭然,24.1,+0.15,+0.63,-0.04,-0.02,-0.05,0.01,-0.03,-0.05,0,-0.05,-0.11,-0.02,-0.04,-0.01,-0.06,2019Q1,,,,,,,,,,,,
4558,寶緯,23.65,+0.15,+0.64,-0.02,-0.02,-0.01,-0.03,-0.01,-0.03,-0.03,-0.02,-0.03,-0.03,-0.02,-0.03,0.01,2019Q1,,,,,,,,,,,,
4561,健椿,44.1,-2.2,-4.75,0.04,0.13,0.01,0.09,-0.07,0,-0.08,0.14,-0.09,0.11,0.06,0.09,0.07,2019Q1,,,,,,,,,,,,
4563,百德,69,-1.2,-1.71,0.03,0.26,0.04,0.26,0.22,-0.06,0,0.16,-0.34,0.14,-0.09,-0.47,0.19,2019Q1,,,,,,,,,,,,
4568,科際精密,46.15,-0.85,-1.81,0.09,0.2,0.27,0.53,-0.11,-0.06,-0.13,0.09,0.01,0.06,-0.01,0.15,0.07,2019Q1,,,,,,,,,,,,
4580,捷流閥業,84.1,-1.6,-1.87,0.11,0.12,0.13,0.25,-0.08,0,0.26,0.13,-0.05,0.26,0.1,-0.11,0.32,2019Q1,,,,,,,,,,,,
4584,君帆,54.2,-3.6,-6.23,0.02,0.02,0.01,0.11,0.03,0.01,-0.02,0.02,-0.02,0.02,-0.01,0.02,-0.01,2019Q1,,,,,,,,,,,,
4702,中美實,9.38,+0.04,+0.43,0.2,0.32,0.18,0.46,0.22,0.04,0.03,0.36,0.1,0.29,0.01,0.07,0.3,2019Q1,,,,,,,,,,,,
4706,大恭,29.9,-0.1,-0.33,0.07,0.08,0.08,0.2,-0.08,0.03,0.08,0.09,-0.04,0.14,0.08,-0.02,0.19,2019Q1,,,,,,,,,,,,
4707,磐亞,10.2,-0.15,-1.45,0.94,0.73,0.77,0.96,0.59,0.73,0.92,1.09,0.85,1.25,1.24,0.98,1.17,2019Q1,,,,,,,,,,,,
4711,永純,14.65,0,0,0.01,0.01,0.01,0.02,0,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02,2019Q1,,,,,,,,,,,,
4714,永捷,14.8,-0.25,-1.66,0.81,0.74,-1.42,-0.24,-0.26,0.31,0.37,0,1.07,5.97,-2.38,-0.19,5.81,2019Q1,,,,,,,,,,,,
4716,大立,16.75,-0.3,-1.76,0.18,0.1,0.13,0.18,-0.09,0.17,-0.02,0.07,0.09,0.57,0.54,0.19,0.25,2019Q1,,,,,,,,,,,,
4721,美琪瑪,50.5,-1.2,-2.32,0.02,0.56,0.51,0.4,-0.26,-0.6,-0.32,-0.01,-0.18,0.05,0.08,-0.06,0.08,2019Q1,,,,,,,,,,,,
4728,雙美,417,+19,+4.77,0.04,0.06,-0.03,0.05,0.02,0.05,-0.12,0.17,0.04,0.15,0.07,0.06,-0.01,2019Q1,,,,,,,,,,,,
4729,熒茂,20.5,-0.1,-0.49,0.13,0,0.29,0.06,0,0.14,0.06,0.23,0.08,0.21,0.13,0.24,0.14,2019Q1,,,,,,,,,,,,
4735,豪展,31.2,-0.15,-0.48,0.07,0.18,0.01,0.13,-0.13,0.06,0.05,0.18,-0.01,0.25,0.15,-0.15,0.15,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
4741,泓瀚,26.1,-0.2,-0.76,0.03,0.07,0.05,0.1,-0.03,0,0.04,0.05,-0.02,0.05,0.04,-0.02,0.05,2019Q1,,,,,,,,,,,,
4744,皇將,20.7,-0.4,-1.9,0.11,0.32,0.35,0.59,-0.35,-0.07,0.13,0.1,-0.24,0.16,0.08,-0.09,0.29,2019Q1,,,,,,,,,,,,
4745,合富-KY,17.65,-0.3,-1.67,0,0,0.12,-0.02,0.08,0.19,-0.17,-0.07,-0.01,0.02,-0.05,-0.03,-0.02,2019Q1,,,,,,,,,,,,
4747,強生,69,+1.7,+2.53,0.01,0,0,0,0,0,0.01,-0.02,0.03,0.01,0.03,0.02,0.04,2019Q1,,,,,,,,,,,,
4749,新應材,430,-23,-5.08,0.5,,0.81,-0.81,1.71,0.33,0.29,0.26,0.48,1.09,0.46,0.27,0.59,2019Q1,,,,,,,,,,,,
4754,國碳科,39.75,-0.25,-0.62,0.01,0.04,0.04,0.04,-0.02,-0.01,0.01,0.03,-0.04,0.03,0.01,-0.01,0.01,2019Q1,,,,,,,,,,,,
4760,勤凱,93.3,-1.7,-1.79,0.03,0.06,0.05,0.08,-0.07,-0.01,0.1,0.04,0.01,0.13,0.08,-0.13,0.07,2019Q1,,,,,,,,,,,,
4767,誠泰科技,32.1,-0.05,-0.16,0.01,0.02,-0.02,0.03,-0.02,-0.01,0.02,0.02,-0.04,0.06,0.01,0,0.04,2019Q1,,,,,,,,,,,,
4768,晶呈科技,114,-3.5,-2.98,0.02,0,0.04,0.16,-0.06,-0.02,0.07,0,-0.05,0.04,0.03,-0.04,0.06,2019Q1,,,,,,,,,,,,
4772,台特化,178,-11,-5.82,0.03,,0.03,,0.07,0.01,0.01,0.02,-0.02,0.06,0.03,0.01,0.11,2019Q1,,,,,,,,,,,,
4903,聯光通,26.85,+0.2,+0.75,0.13,0,-0.74,-0.01,0.45,-0.01,0,0.01,0.93,0.01,1.06,-0.01,-0.16,2019Q1,,,,,,,,,,,,
4905,台聯電,61.5,0,0,0.25,-0.09,-0.3,-0.07,0.17,0.73,0.59,0.61,0.13,0.67,0.6,-0.41,0.39,2019Q1,,,,,,,,,,,,
4907,富宇,43.95,-1.15,-2.55,0,-0.01,-0.01,-0.01,-0.01,-0.01,0.06,-0.01,0,0,0.01,0,0.01,2019Q1,,,,,,,,,,,,
4908,前鼎,70.5,-1.7,-2.35,0.14,0.24,0.26,0.38,-0.08,0.04,0.22,0.29,-0.21,0.28,0.12,-0.02,0.18,2019Q1,,,,,,,,,,,,
4909,新復興,83.4,+7.5,+9.88,0.48,0.55,0.49,0.8,-0.81,0.03,0.19,0.61,-0.4,0.69,0.38,2.73,0.45,2019Q1,,,,,,,,,,,,
4911,德英,50,+0.1,+0.2,0.01,0,0,0.01,0,0,0.01,0.08,0.01,0.01,0.02,0.01,0.01,2019Q1,,,,,,,,,,,,
4924,欣厚-KY,18.45,-0.05,-0.27,0.02,0.01,0.04,0.09,-0.05,0.01,-0.02,0.01,0.06,0.09,-0.02,-0.06,0.07,2019Q1,,,,,,,,,,,,
4931,新盛力,74.2,-1.1,-1.46,0.11,0.19,0.22,0.51,-0.22,-0.07,0.17,0.14,-0.08,0.09,0.11,0.05,0.25,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
4933,友輝,72.7,-2.3,-3.07,0.38,0.28,0.36,1.05,-0.47,0.04,0.7,1.06,-0.79,1.3,0.68,-0.11,0.48,2019Q1,,,,,,,,,,,,
4939,亞電,19.35,+0.6,+3.2,-0.08,0.18,-0.33,-0.32,-0.13,-0.03,-0.24,0.09,-0.14,0.05,-0.03,0.01,-0.07,2019Q1,,,,,,,,,,,,
4945,陞達科技,64,-1,-1.54,0.1,0.14,0.1,0.25,-0.09,0.03,0.16,0.21,-0.16,0.27,0.13,-0.06,0.21,2019Q1,,,,,,,,,,,,
4951,精拓科,59.7,-1.4,-2.29,0.04,0.05,0.04,0.06,-0.01,0.04,0.04,0.04,0.01,0.03,0.11,0.01,0.03,2019Q1,,,,,,,,,,,,
